case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200-capd0-rgn1-supermode3,3612066084152622161,66517,9067,3,true,true,3337/1985/1786/1228/1661,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,2,ptblend200-capd0-rgn1-supermode1,3612066084152622161,68067,9074,3,true,true,3337/2198/1722/1335/1661,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,base,8828047033377196168,62780,8944,3,true,true,3337/1355/2135/935/1749,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200,8828047033377196168,62780,8944,3,true,true,3337/1355/2135/935/1749,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200-capd0-rgn1,8828047033377196168,62780,8944,3,true,true,3337/1355/2135/935/1749,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200-capd0-rgn1-supermode3,8828047033377196168,62780,8944,3,true,true,3337/1355/2135/935/1749,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,3,ptblend200-capd0-rgn1-supermode1,8828047033377196168,64576,8886,3,true,true,3337/1984/1934/1267/1366,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,base,8411650149181592796,71250,9465,3,true,true,3337/2400/1746/1688/1599,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200,8411650149181592796,71454,9418,3,true,true,3337/2400/1746/1550/1767,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200-capd0-rgn1,8411650149181592796,70801,9405,3,true,true,3337/2400/1686/1502/1767,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200-capd0-rgn1-supermode3,8411650149181592796,70801,9405,3,true,true,3337/2400/1686/1502/1767,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,4,ptblend200-capd0-rgn1-supermode1,8411650149181592796,69831,9319,3,true,true,3337/2267/1686/1336/1931,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,base,15206158021144599953,69431,9240,3,true,true,3337/2400/1771/1541/1471,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200,15206158021144599953,69431,9240,3,true,true,3337/2400/1771/1541/1471,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200-capd0-rgn1,15206158021144599953,69431,9240,3,true,true,3337/2400/1771/1541/1471,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200-capd0-rgn1-supermode3,15206158021144599953,69431,9240,3,true,true,3337/2400/1771/1541/1471,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,5,ptblend200-capd0-rgn1-supermode1,15206158021144599953,69243,9221,3,true,true,3337/2400/1771/1511/1471,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,base,5537831091231495819,65881,8837,3,true,true,3337/2063/1774/1237/1560,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200,5537831091231495819,67954,8956,3,true,true,3337/2319/1743/1334/1517,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200-capd0-rgn1,5537831091231495819,67954,8956,3,true,true,3337/2319/1743/1334/1517,
speed,preset,106402,302754/303124/302984/303044/303064/303054,917821000,6,ptblend200-capd0-rgn1-supermode3,5537831091231495819,67954,8956,3,true,true,3337/2319/1743/1334/1517,
